run_id,trial,is_baseline,sklearn_version,xgboost_version,cv_pr_auc_mean,cv_pr_auc_std,cv_roc_auc_mean,cv_roc_auc_std,train_pr_auc_mean,fit_time_sec,wall_time_sec,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,scale_pos_weight
20260622_101438,55,False,1.7.2,3.3.0,0.9370888513887956,0.0021754086307103,0.801720997433885,0.0062051598161322,0.9390848601221116,6.940231323242188,3.35858829999961,180,4,0.03,0.75,0.65,80,0.5,2.0,10.0,1.0
20260622_101438,56,False,1.7.2,3.3.0,0.9370646495382357,0.0019608872588754,0.8014233324270806,0.0060764288513914,0.9383232276665724,6.199173927307129,2.8759565000000293,180,3,0.0359,0.75,0.8,40,0.1,1.0,3.0,1.0
20260622_101438,57,False,1.7.2,3.3.0,0.9369980421331142,0.0021857470506406,0.8016498652433256,0.006172291677346,0.9400465937528684,3.591615438461304,1.8331084999999805,120,5,0.045,1.0,0.9,80,0.0,2.0,20.0,0.5
20260622_101438,58,False,1.7.2,3.3.0,0.937188239653012,0.002140374122359,0.8019828980981492,0.0061578949783263,0.940448439780066,13.215167760849,5.949791999999434,400,4,0.03,0.75,0.9,40,0.0,2.0,3.0,1.0
20260622_101438,59,False,1.7.2,3.3.0,0.937014710793238,0.0021679713921932,0.8014568225034641,0.0060555409202409,0.9384201762522562,14.3538498878479,6.2410830999997415,500,2,0.0359,0.65,0.65,80,0.0,0.0,10.0,0.5
20260622_101438,60,False,1.7.2,3.3.0,0.9369093738609432,0.0017727385340248,0.8015526346071556,0.0060108383097514,0.9407161615716466,9.545883655548096,4.343987000000197,320,3,0.08,0.85,0.8,20,0.05,0.5,10.0,0.5
20260622_101438,61,False,1.7.2,3.3.0,0.935908942801101,0.0020936784095462,0.7983210536851642,0.0060699079925658,0.9367510119326315,4.577669382095337,2.2039410999996107,120,3,0.015,0.75,0.9,80,0.5,0.0,1.0,1.0
20260622_101438,62,False,1.7.2,3.3.0,0.9371686426539594,0.0022017203544305,0.8017722318255173,0.0062258655270402,0.9398682545269054,6.158214569091797,3.0321476999997685,320,4,0.03,1.0,0.65,10,0.5,0.1,10.0,0.75
20260622_101438,63,False,1.7.2,3.3.0,0.9368032909296462,0.0020012876033095,0.8016380718648225,0.0060414147030908,0.941788784556668,13.142885446548462,5.924138100000164,400,4,0.0359,0.75,1.0,10,0.05,0.1,5.0,0.5
20260622_101438,64,False,1.7.2,3.3.0,0.9366846347598228,0.0022006999710367,0.8006319294155265,0.0059853962937111,0.9376372492233784,11.398674964904783,5.269965200000115,400,2,0.02,0.75,0.8,1,0.0,1.0,20.0,0.5
20260622_101438,65,False,1.7.2,3.3.0,0.9369636667705048,0.0021031329441743,0.8014756764223222,0.006065143215791,0.943868921229818,14.273199319839478,6.701451399999314,400,5,0.03,0.75,0.65,1,0.1,1.0,1.0,0.75
20260622_101438,66,False,1.7.2,3.3.0,0.935566695951962,0.0020256641924221,0.7971144006411943,0.005908679191078,0.9360475159593686,2.4646520614624023,1.313071000000491,120,2,0.025,1.0,0.8,80,0.1,0.1,10.0,0.75
20260622_101438,67,False,1.7.2,3.3.0,0.9363897190283816,0.0018730679579554,0.7988663970639658,0.0058840468939549,0.9369004043124104,9.21907925605774,4.178572899999381,320,2,0.015,0.75,0.65,40,0.1,1.0,40.0,0.5
20260622_101438,68,False,1.7.2,3.3.0,0.9368589971360552,0.0019896625312125,0.801378190564448,0.0061541206643053,0.9391415684782776,10.630698919296265,4.76863129999947,400,2,0.08,0.85,0.8,1,0.0,1.0,1.0,0.75
20260622_101438,69,False,1.7.2,3.3.0,0.9368269299950176,0.0024403834098685,0.8011644709963782,0.0063322967032486,0.939524862626926,6.02162504196167,2.8359410000002754,120,6,0.02,0.85,1.0,20,0.5,1.0,40.0,1.0
20260622_101438,70,False,1.7.2,3.3.0,0.9369173469846755,0.0023359861200978,0.8015136291732642,0.0062445671339535,0.9395572899006256,9.833645105361938,4.514066599999751,250,5,0.015,0.75,0.65,20,0.05,0.5,40.0,0.5
20260622_101438,71,False,1.7.2,3.3.0,0.936983008294308,0.0020247416501027,0.8015742693054004,0.0060966690070485,0.9415798316667948,15.577073574066162,7.019300699999803,500,4,0.0359,0.85,0.8,1,0.0,1.0,20.0,0.75
20260622_101438,72,False,1.7.2,3.3.0,0.9370383947882838,0.0019691801427816,0.8017032295599475,0.006073544761711,0.9400162524804564,7.550222158432007,3.7205572999992,500,3,0.06,1.0,0.9,40,0.0,0.5,40.0,0.75
20260622_101438,73,False,1.7.2,3.3.0,0.9358492682037068,0.0016705149595794,0.7992917186065575,0.0056029600941258,0.9476738998857696,17.918307781219482,8.040885899999921,500,5,0.045,0.65,1.0,10,0.3,0.5,1.0,0.5
20260622_101438,74,False,1.7.2,3.3.0,0.936654260670806,0.0018783064307769,0.8011297136736486,0.0058738304251307,0.9418322826839396,8.46717619895935,3.843028100000083,250,4,0.08,0.75,0.65,40,0.05,0.0,3.0,0.5
20260622_101438,75,False,1.7.2,3.3.0,0.9369811267084412,0.0022868615891776,0.8015605083170929,0.0063229714749888,0.9403407928867152,5.218950033187866,2.5627721000000747,180,5,0.02,1.0,0.8,10,0.5,1.0,1.0,0.75
20260622_101438,76,False,1.7.2,3.3.0,0.9368759363043372,0.001779050379321,0.8015018282978243,0.0057592654327165,0.9429591948314652,12.929997444152832,6.166547800000444,320,6,0.03,0.65,0.8,40,0.05,1.0,10.0,0.5
20260622_101438,77,False,1.7.2,3.3.0,0.9366805449580612,0.001702917786719,0.8011487946404794,0.0059391868242506,0.943705130740804,9.135059595108032,4.232456800000364,250,6,0.02,1.0,1.0,1,0.05,0.1,3.0,1.0
20260622_101438,78,False,1.7.2,3.3.0,0.9370123504339516,0.0021246385775709,0.8014334366775163,0.0061005969459213,0.938489359654198,15.767789363861084,8.764874899999995,320,3,0.02,0.65,0.9,10,0.0,0.0,3.0,1.0
20260622_101438,79,False,1.7.2,3.3.0,0.9369366681755852,0.0022594986909857,0.8011251283757727,0.0061340948472438,0.9386378823148036,15.394706964492798,7.958792200000062,250,4,0.015,0.75,1.0,10,0.0,2.0,40.0,0.75
20260622_101438,80,False,1.7.2,3.3.0,0.937065856653492,0.0021906446537542,0.8018753907341649,0.0060816549445861,0.941297943232805,28.108211278915405,13.891089299999294,500,5,0.02,0.85,0.8,20,0.0,1.0,40.0,0.5
20260622_101438,81,False,1.7.2,3.3.0,0.9371724202979378,0.002077908762775945,0.8019798854564142,0.006139902706373148,0.9395471759336422,26.556246757507324,11.66312569999991,500,4,0.015,0.65,0.8,80,0.0,0.5,10.0,1.0
