category_id,category_code,display_name,top_brand,price_median,n_products,n_events,price_sum,source_dataset
1982860263572898112,,category_1982860263572898112,estel,6.44,57,18395,118486.28,REES46 cosmetics 2019-Oct..2020-Feb
1487580013254410426,,category_1487580013254410426,provoc,6.14,145,18373,112889.88,REES46 cosmetics 2019-Oct..2020-Feb
1487580013212467384,,category_1487580013212467384,UNK,8.89,72,18338,163090.1,REES46 cosmetics 2019-Oct..2020-Feb
1487580013824835799,,category_1487580013824835799,estel,4.82,69,18133,87380.72,REES46 cosmetics 2019-Oct..2020-Feb
2029082628195353599,,category_2029082628195353599,UNK,2.43,11,17823,43266.33,REES46 cosmetics 2019-Oct..2020-Feb
1487580005385896804,,category_1487580005385896804,UNK,5.0,221,17766,88821.22,REES46 cosmetics 2019-Oct..2020-Feb
1783999064069636330,,category_1783999064069636330,UNK,4.7,0,17669,83047.3,REES46 cosmetics 2019-Oct..2020-Feb
1487580009076883471,,category_1487580009076883471,UNK,2.31,18,17617,40624.06,REES46 cosmetics 2019-Oct..2020-Feb
1487580010754605141,,category_1487580010754605141,UNK,1.64,149,17333,28398.12,REES46 cosmetics 2019-Oct..2020-Feb
1487580010779770966,,category_1487580010779770966,UNK,0.68,58,17198,11700.84,REES46 cosmetics 2019-Oct..2020-Feb
2114584564549550293,,category_2114584564549550293,UNK,3.87,86,16995,65847.11,REES46 cosmetics 2019-Oct..2020-Feb
1487580012683985055,,category_1487580012683985055,UNK,7.44,98,16992,126408.23,REES46 cosmetics 2019-Oct..2020-Feb
1783999073758478650,,category_1783999073758478650,UNK,5.94,130,16857,100054.73,REES46 cosmetics 2019-Oct..2020-Feb
1526733091857498510,,category_1526733091857498510,UNK,5.84,201,16513,96473.02,REES46 cosmetics 2019-Oct..2020-Feb
1783999071325782053,,category_1783999071325782053,UNK,1.26,64,16073,20296.12,REES46 cosmetics 2019-Oct..2020-Feb
2035665444290953519,,category_2035665444290953519,UNK,4.81,123,15813,75990.76,REES46 cosmetics 2019-Oct..2020-Feb
2195085258272014535,,category_2195085258272014535,runail,3.77,6,15738,59397.56,REES46 cosmetics 2019-Oct..2020-Feb
2018395024110125980,,category_2018395024110125980,UNK,9.49,77,15414,146234.05,REES46 cosmetics 2019-Oct..2020-Feb
1487580013086638258,,category_1487580013086638258,shik,7.69,34,15078,115946.12,REES46 cosmetics 2019-Oct..2020-Feb
1487580013690618064,,category_1487580013690618064,parachute,10.52,53,15074,158512.69,REES46 cosmetics 2019-Oct..2020-Feb
1487580009336930331,,category_1487580009336930331,UNK,8.25,41,14984,123691.98,REES46 cosmetics 2019-Oct..2020-Feb
1487580012524601496,,category_1487580012524601496,UNK,3.89,152,14795,57609.08,REES46 cosmetics 2019-Oct..2020-Feb
1487580008011531230,,category_1487580008011531230,coifin,52.32,66,14703,769303.75,REES46 cosmetics 2019-Oct..2020-Feb
1516331853567492962,,category_1516331853567492962,UNK,4.23,39,14433,61089.38,REES46 cosmetics 2019-Oct..2020-Feb
1982860244379763042,,category_1982860244379763042,UNK,7.31,53,13862,101358.75,REES46 cosmetics 2019-Oct..2020-Feb
1487580011996119176,,category_1487580011996119176,ingarden,6.37,58,13837,88199.14,REES46 cosmetics 2019-Oct..2020-Feb
1487580006241534861,,category_1487580006241534861,runail,3.56,37,13791,49146.69,REES46 cosmetics 2019-Oct..2020-Feb
1487580005897601916,,category_1487580005897601916,runail,2.54,46,13646,34717.37,REES46 cosmetics 2019-Oct..2020-Feb
1487580009571811364,,category_1487580009571811364,rosi,2.97,14,13635,40513.3,REES46 cosmetics 2019-Oct..2020-Feb
1998040849203594085,,category_1998040849203594085,UNK,12.2,16,13603,165915.73,REES46 cosmetics 2019-Oct..2020-Feb
1495705810729173554,,category_1495705810729173554,UNK,3.89,77,13338,51934.1,REES46 cosmetics 2019-Oct..2020-Feb
1487580012591710363,,category_1487580012591710363,UNK,3.09,67,13268,40956.31,REES46 cosmetics 2019-Oct..2020-Feb
1487580007365608384,,category_1487580007365608384,UNK,3.89,83,13064,50777.28,REES46 cosmetics 2019-Oct..2020-Feb
1487580008053474272,,category_1487580008053474272,UNK,54.52,49,13034,710608.5,REES46 cosmetics 2019-Oct..2020-Feb
1487580013430571202,,category_1487580013430571202,UNK,6.44,61,12865,82823.61,REES46 cosmetics 2019-Oct..2020-Feb
1487580009622143014,,category_1487580009622143014,UNK,0.79,22,12666,9995.06,REES46 cosmetics 2019-Oct..2020-Feb
1487580013296353468,,category_1487580013296353468,UNK,11.65,119,12557,146322.53,REES46 cosmetics 2019-Oct..2020-Feb
